ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Conseillère Voyage,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,"Conception, commercialisation et vente de produits touristiques",G1303,Vente de voyages,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,500 et plus,,,,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Secrétaire,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1607,Secrétariat,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Agent de reservations corporate bilingue,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,"Conception, commercialisation et vente de produits touristiques",G1303,Vente de voyages,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Operation executive no travel agency,,,,,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Information et communication,de 10 à 49,,,,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Interprète Image,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,Autre,,Autre,Autres activités de service,de 50 à 199,,,1000 à 1500,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Conseillère en séjour en ot,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,"Conception, commercialisation et vente de produits touristiques",G1303,Vente de voyages,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Un organisme à but non lucratif ou une association,,de 1 à 2,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Barman,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Service,G1801,"Café, bar brasserie",,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,chef de reception,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Un organisme à but non lucratif ou une association,"Arts, spectacles et activités récréatives",de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Commerciale pour la boutique en ligne HP,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",500 et plus,,,1500 à 2000,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Directeur commerciale,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Arts, spectacles et activités récréatives",de 3 à 9,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Assistante de restaurant,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Gestion et direction,G1401,Assistance de direction d'hôtel-restaurant,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 200 à 499,,,1500 à 2000,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Animatrice au Club Méditerranée,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Animation d'activités de loisirs,G1202,Animation d'activités culturelles ou ludiques ,,,,,Autre,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 200 à 499,,,Moins de 1000,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Hôtesse d'accueil et Organisatrice / gestionnaire des séjours groupes  et commerce de proximité,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1601,Accueil et renseignements,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",,Un organisme à but non lucratif ou une association,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Directeur artistique - chef de projet événementiel - concept et décoration,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1104,Conception de contenus multimédias,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 10 à 49,,,2500 et plus,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Employée polyvalente,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1507,Mise en rayon libre-service,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",,2011,,IUT Cannes,,,,,,,,,
,Technicienne de production,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1206,Intervention socioculturelle,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 3 à 9,,,1000 à 1500,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Chef de projet Commercial interne,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Réceptionniste à Brown's Hotel 5*,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil en hôtellerie,G1703,Réception en hôtellerie,,,,,CDI,,Autre,"Commerce, transports, hébergement et restauration",de 200 à 499,,,1000 à 1500,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Assistante chef de projet,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1605,Assistanat technique et administratif,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Collaboratrice interne,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités financières et d'assurance,de 1 à 2,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1403,Relation commerciale auprès de particuliers,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 3 à 9,,,1500 à 2000,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,RECEPTIONNISTE,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil en hôtellerie,G1703,Réception en hôtellerie,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 200 à 499,,,1500 à 2000,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,employé commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1507,Mise en rayon libre-service,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,,,Candidature spontanée,,2011,,IUT Cannes,,,,,,,,,
,assistante commerciale éventement,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Assimilé fonctionnaire aux caisses sociales,,,,,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service","La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique (hors enseignement),de 200 à 499,,,1500 à 2000,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,marketing commerciale,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,,,Candidature spontanée,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Gérante de société de décoration d'évènementiel,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,"Arts, spectacles et activités récréatives",Pas de salarié,,,,,Création ou reprise d entreprise,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Ventes groupes et incentives,,,,,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Agent de réservation polyvalent dans l hôtellerie,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,"Conception, commercialisation et vente de produits touristiques",G1303,Vente de voyages,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Chargée de production évenementiel,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil et promotion touristique,G1102,Promotion du tourisme local,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Autres activités de service,de 3 à 9,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2011,2005138,IUT Cannes,HOTELLERIE ET TOURISME,MANAGEMENT ET INNOVATIONS TOURISTIQUES,,,,,,,
,Vendeuse en boulangerie,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Commerce alimentaire et métiers de la bouche,D1106,Vente en alimentation,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,Moins de 1000,,"Réseau de relations personnelles, familiales...",,2011,,IUT Cannes,,,,,,,,,
,conceptor,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,,,Vous-même,"Commerce, transports, hébergement et restauration",,,,,,Création ou reprise d entreprise,,2011,,IUT Cannes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,IUT Cannes,,,,,,,,,
,Gérant,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,Autre,,Vous-même,"Commerce, transports, hébergement et restauration",de 1 à 2,,,1000 à 1500,,Création ou reprise d entreprise,,2011,,IUT Cannes,,,,,,,,,
,Import export de pierres précieuses et semi précieuses.,SUPPORT À L'ENTREPRISE,Achats,M1102,Direction des achats,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur",,Vous-même,"Commerce, transports, hébergement et restauration",Pas de salarié,,,,,"Réseau de relations personnelles, familiales...",,2011,,IUT Cannes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Chef de produit nautique pour un site web,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1703,Management et gestion de produit,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2000 à 2500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,,IUT Cannes,,,,,,,,,
,Yacht Manager,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1502,Management/gestion de rayon produits alimentaires,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Commerce, transports, hébergement et restauration",,,,,,"Réseau de relations personnelles, familiales...",,2011,,IUT Cannes,,,,,,,,,
